antecedente,consequente,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"cafe, refrigerante","acucar, cerveja",0.082,0.131,0.071,0.8658536585365852,6.609569912493017,0.06025799999999999,6.477999999999994,0.9245144067016476
"acucar, cerveja","cafe, refrigerante",0.131,0.082,0.071,0.5419847328244274,6.609569912493017,0.06025799999999999,2.0042999999999997,0.9766446781957567
"acucar, refrigerante","cafe, cerveja",0.083,0.13,0.071,0.8554216867469878,6.580166821130676,0.06020999999999999,6.017499999999995,0.9247853533414225
"cafe, cerveja","acucar, refrigerante",0.13,0.083,0.071,0.5461538461538461,6.580166821130676,0.06020999999999999,2.020508474576271,0.9747450218552696
"frango, refrigerante","cerveja, feijao",0.063,0.166,0.059,0.9365079365079364,5.641614075349014,0.048541999999999995,13.135499999999977,0.8780637809091402
"frango, refrigerante","arroz, cerveja",0.063,0.168,0.059,0.9365079365079364,5.57445200302343,0.048415999999999994,13.103999999999978,0.8757845992438904
"feijao, refrigerante","arroz, cerveja",0.105,0.168,0.097,0.9238095238095239,5.498866213151928,0.07936,10.920000000000007,0.9141277429015723
"arroz, cerveja","feijao, refrigerante",0.168,0.105,0.097,0.5773809523809523,5.498866213151927,0.07936,2.117746478873239,0.9833465503568597
"arroz, refrigerante","cerveja, feijao",0.107,0.166,0.097,0.9065420560747663,5.461096723341965,0.079238,8.923799999999998,0.9147666270303968
"cerveja, feijao","arroz, refrigerante",0.166,0.107,0.097,0.5843373493975903,5.461096723341965,0.079238,2.148376811594203,0.979480333259166
"cerveja, frango","feijao, refrigerante",0.105,0.105,0.059,0.5619047619047619,5.351473922902494,0.047975,2.042934782608696,0.9085313890730045
"feijao, refrigerante","cerveja, frango",0.105,0.105,0.059,0.5619047619047619,5.351473922902494,0.047975,2.042934782608696,0.9085313890730045
"cerveja, frango","arroz, refrigerante",0.105,0.107,0.059,0.5619047619047619,5.2514463729417,0.047764999999999995,2.0383695652173914,0.9045544929457437
"arroz, refrigerante","cerveja, frango",0.107,0.105,0.059,0.5514018691588785,5.251446372941699,0.047764999999999995,1.9951041666666665,0.9065803708694744
"doces, feijao","arroz, cerveja",0.063,0.168,0.055,0.873015873015873,5.196523053665911,0.044416,6.5520000000000005,0.8618608712525467
"arroz, doces","cerveja, feijao",0.065,0.166,0.055,0.8461538461538461,5.097312326227988,0.04421,5.420999999999999,0.8596985901798735
"acucar, feijao","arroz, cafe",0.201,0.205,0.188,0.9353233830845771,4.56255308821745,0.146795,12.29192307692307,0.9772521502942509
"arroz, cafe","acucar, feijao",0.205,0.201,0.188,0.9170731707317074,4.56255308821745,0.146795,9.635000000000003,0.9821691422454168
"cafe, feijao","acucar, arroz",0.202,0.204,0.188,0.9306930693069306,4.562220927975151,0.146792,11.485142857142847,0.9784567802484935
"acucar, arroz","cafe, feijao",0.204,0.202,0.188,0.9215686274509804,4.562220927975151,0.146792,10.174500000000007,0.980915214369721
"cafe, carne","acucar, feijao",0.105,0.201,0.093,0.8857142857142858,4.406538734896944,0.071895,6.9912500000000035,0.86375923589836
"cafe, frango","acucar, feijao",0.111,0.201,0.098,0.8828828828828829,4.392452153646183,0.075689,6.822230769230767,0.8687702302518308
"acucar, carne","cafe, feijao",0.105,0.202,0.093,0.8857142857142858,4.384724186704385,0.07178999999999999,6.982500000000005,0.8624977473418632
"cafe, carne","acucar, arroz",0.105,0.204,0.093,0.8857142857142858,4.341736694677872,0.07158,6.965000000000005,0.85997477022887
"acucar, frango","cafe, feijao",0.112,0.202,0.098,0.875,4.3316831683168315,0.075376,6.384,0.8661518661518661
"cafe, frango","acucar, arroz",0.111,0.204,0.098,0.8828828828828829,4.32785726903374,0.075356,6.796615384615383,0.864948003948486
"acucar, carne","arroz, cafe",0.105,0.205,0.093,0.8857142857142858,4.3205574912891995,0.071475,6.956250000000005,0.8587132816723734
"leite, refrigerante","cerveja, pao",0.134,0.209,0.121,0.9029850746268656,4.32050274941084,0.092994,8.153384615384612,0.8874658828469453
"cerveja, pao","leite, refrigerante",0.209,0.134,0.121,0.5789473684210527,4.32050274941084,0.092994,2.05675,0.9716124583381219
"pao, refrigerante","cerveja, leite",0.135,0.208,0.121,0.8962962962962963,4.3091168091168095,0.09292,7.637142857142854,0.8877848373381743
"cerveja, leite","pao, refrigerante",0.208,0.135,0.121,0.5817307692307693,4.3091168091168095,0.09292,2.0680459770114945,0.9696134902746473
"acucar, frango","arroz, cafe",0.112,0.205,0.098,0.875,4.2682926829268295,0.07504000000000001,6.36,0.8622908622908624
"manteiga, refrigerante","cerveja, leite",0.071,0.208,0.062,0.8732394366197184,4.198266522210185,0.047232,6.248000000000003,0.8200284732108754
"manteiga, refrigerante","cerveja, pao",0.071,0.209,0.062,0.8732394366197184,4.178179122582384,0.047161,6.240111111111114,0.8187957915205389
"cerveja, manteiga","leite, refrigerante",0.113,0.134,0.062,0.5486725663716814,4.094571390833443,0.046858,1.91878431372549,0.8520565879914171
"doces, pao","cerveja, leite",0.091,0.208,0.077,0.8461538461538461,4.068047337278107,0.058072,5.148,0.8296829682968296
"cerveja, manteiga","pao, refrigerante",0.113,0.135,0.062,0.5486725663716814,4.064241232382825,0.046744999999999995,1.9165686274509803,0.8500018183801868
"doces, leite","cerveja, pao",0.091,0.209,0.077,0.8461538461538461,4.048582995951417,0.057981000000000005,5.1415,0.8283828382838284
"acucar, leite","cafe, pao",0.236,0.239,0.223,0.9449152542372882,3.9536203106162686,0.16659600000000002,13.815076923076932,0.9778367337355905
"cafe, pao","acucar, leite",0.239,0.236,0.223,0.9330543933054394,3.9536203106162686,0.16659600000000002,11.412250000000009,0.9816915434612236
"acucar, pao","cafe, leite",0.237,0.238,0.223,0.9409282700421941,3.953480126227707,0.16659400000000002,12.899571428571441,0.9791065477904661
"cafe, leite","acucar, pao",0.238,0.237,0.223,0.9369747899159665,3.953480126227707,0.16659400000000002,12.106266666666688,0.9803914645198499
"cafe, manteiga","acucar, leite",0.122,0.236,0.112,0.9180327868852459,3.889969435954432,0.083208,9.320800000000002,0.8461601041327693
"acucar, manteiga","cafe, leite",0.121,0.238,0.112,0.9256198347107438,3.889158969372873,0.083202,10.24466666666667,0.845136518771331
