produto,suporte_produto,associacoes_relevantes,confianca_media,lift_maximo,leverage_total
pao,0.633,2,0.7606635071090047,1.5647333182878207,0.345192
leite,0.63,2,0.7642857142857143,1.5647333182878207,0.34623000000000004
arroz,0.519,2,0.745664739884393,1.8929130539499035,0.3588
feijao,0.512,2,0.7548828125,1.8929130539499035,0.359816
manteiga,0.346,2,0.9797687861271678,1.5551885494082027,0.24100200000000008
frango,0.288,2,0.9392361111111112,1.8310546875000002,0.24407200000000004
carne,0.261,2,0.9367816091954022,1.8333931992337162,0.219909
cafe,0.393,1,0.9491094147582697,2.433613883995563,0.21972999999999998
acucar,0.39,1,0.9564102564102563,2.433613883995563,0.21972999999999998
cerveja,0.338,1,0.5650887573964497,2.6908988447449986,0.12002
refrigerante,0.21,1,0.9095238095238096,2.6908988447449986,0.12002
doces,0.131,1,0.8778625954198473,2.5972266136681874,0.07072200000000001
